problemid,modelid,refineryruntime,aspruntime,modelsize,numberofnodes,numberofnetworkuse,reliability
raft_size4,0,29587,0.009,39,12,86,4
raft_size4,1,3250,0.01,39,12,88,3
raft_size4,2,,,,,,
raft_size4,3,43623,0.008,39,11,64,3
raft_size4,4,,,,,,
raft_size4,5,6880,0.011,39,13,96,2
raft_size4,6,,,,,,
raft_size4,7,,,,,,
raft_size4,8,,,,,,
raft_size4,9,,,,,,
raft_size4,10,,,,,,
raft_size4,11,,,,,,
raft_size4,12,15271,0.019,39,12,86,2
raft_size4,13,,,,,,
raft_size4,14,,,,,,
raft_size4,15,,,,,,
raft_size4,16,230497,0.014,39,10,64,3
raft_size4,17,,,,,,
raft_size4,18,,,,,,
raft_size4,19,,,,,,
raft_size4,20,,,,,,
raft_size4,21,84072,0.022,39,12,84,3
raft_size4,22,,,,,,
raft_size4,23,155767,0.019,39,12,84,3
raft_size4,24,,,,,,
raft_size4,25,,,,,,
raft_size4,26,,,,,,
raft_size4,27,,,,,,
raft_size4,28,,,,,,
raft_size4,29,,,,,,
