problemid,modelid,refineryruntime,aspruntime,modelsize,numberofnodes,numberofnetworkuse,reliability
raft_size2,0,14568,0.006,24,6,14,1
raft_size2,1,12218,0.006,24,7,20,1
raft_size2,2,98357,0.002,24,7,18,1
raft_size2,3,,,,,,
raft_size2,4,14994,0.004,24,6,14,1
raft_size2,5,,,,,,
raft_size2,6,,,,,,
raft_size2,7,,,,,,
raft_size2,8,92697,0.004,24,7,18,1
raft_size2,9,2787,0.007,24,6,18,1
raft_size2,10,975,0.007,24,7,20,1
raft_size2,11,,,,,,
raft_size2,12,,,,,,
raft_size2,13,24961,0.006,24,6,18,1
raft_size2,14,64139,0.005,23,6,18,1
raft_size2,15,245445,0.007,24,6,18,1
raft_size2,16,238676,0.004,22,5,10,1
raft_size2,17,18540,0.009,24,6,14,1
raft_size2,18,65360,0.004,24,6,18,1
raft_size2,19,,,,,,
raft_size2,20,,,,,,
raft_size2,21,25282,0.009,24,7,16,1
raft_size2,22,23555,0.007,24,7,20,1
raft_size2,23,,,,,,
raft_size2,24,8060,0.008,24,7,20,1
raft_size2,25,162962,0.005,24,7,14,1
raft_size2,26,,,,,,
raft_size2,27,1746,0.009,24,7,24,1
raft_size2,28,,,,,,
raft_size2,29,27926,0.008,23,6,14,1
