problemid,modelid,refineryruntime,aspruntime,modelsize,numberofnodes,numberofnetworkuse,reliability
raft_size6,0,,,,,,
raft_size6,1,,,,,,
raft_size6,2,,,,,,
raft_size6,3,,,,,,
raft_size6,4,,,,,,
raft_size6,5,,,,,,
raft_size6,6,,,,,,
raft_size6,7,,,,,,
raft_size6,8,,,,,,
raft_size6,9,,,,,,
raft_size6,10,,,,,,
raft_size6,11,93823,0.007,57,17,190,3
raft_size6,12,,,,,,
raft_size6,13,,,,,,
raft_size6,14,,,,,,
raft_size6,15,52217,0.025,60,19,232,5
raft_size6,16,27291,0.01,58,18,198,1
raft_size6,17,,,,,,
raft_size6,18,141072,0.016,59,19,216,4
raft_size6,19,,,,,,
raft_size6,20,51692,0.042,58,18,210,6
raft_size6,21,,,,,,
raft_size6,22,,,,,,
raft_size6,23,,,,,,
raft_size6,24,,,,,,
raft_size6,25,,,,,,
raft_size6,26,,,,,,
raft_size6,27,,,,,,
raft_size6,28,,,,,,
raft_size6,29,,,,,,
