problemid,modelid,refineryruntime,aspruntime,modelsize,numberofnodes,numberofnetworkuse,reliability
kafka_size2,0,68459,0.015,38,17,170,1
kafka_size2,1,,,,,,
kafka_size2,2,,,,,,
kafka_size2,3,,,,,,
kafka_size2,4,206328,0.015,37,17,126,1
kafka_size2,5,,,,,,
kafka_size2,6,,,,,,
kafka_size2,7,43791,0.014,32,14,124,1
kafka_size2,8,,,,,,
kafka_size2,9,103522,0.016,40,19,230,1
kafka_size2,10,117134,0.009,34,14,108,1
kafka_size2,11,,,,,,
kafka_size2,12,,,,,,
kafka_size2,13,,,,,,
kafka_size2,14,,,,,,
kafka_size2,15,,,,,,
kafka_size2,16,,,,,,
kafka_size2,17,,,,,,
kafka_size2,18,,,,,,
kafka_size2,19,,,,,,
kafka_size2,20,,,,,,
kafka_size2,21,,,,,,
kafka_size2,22,,,,,,
kafka_size2,23,,,,,,
kafka_size2,24,,,,,,
kafka_size2,25,,,,,,
kafka_size2,26,,,,,,
kafka_size2,27,,,,,,
kafka_size2,28,,,,,,
kafka_size2,29,,,,,,
