problemid,modelid,refineryruntime,aspruntime,modelsize,numberofnodes,numberofnetworkuse,reliability
raft_size1,0,1024,0.006,24,8,38,2
raft_size1,1,661,0.007,24,9,50,1
raft_size1,2,26401,0.006,20,6,16,1
raft_size1,3,1041,0.006,23,7,30,1
raft_size1,4,579,0.004,18,4,8,1
raft_size1,5,552,0.005,24,10,70,1
raft_size1,6,611,0.005,24,8,34,1
raft_size1,7,681,0.004,22,9,46,1
raft_size1,8,3809,0.005,24,9,48,1
raft_size1,9,634,0.004,21,7,24,1
raft_size1,10,33990,0.002,21,7,20,1
raft_size1,11,5369,0.005,24,8,48,1
raft_size1,12,2033,0.004,22,8,24,1
raft_size1,13,381,0.003,21,6,24,1
raft_size1,14,219,0.004,20,8,14,1
raft_size1,15,12874,0.005,24,7,22,1
raft_size1,16,998,0.005,23,8,30,1
raft_size1,17,294,0.003,18,5,12,1
raft_size1,18,703,0.005,22,7,34,1
raft_size1,19,5130,0.003,18,5,12,1
raft_size1,20,799,0.004,24,8,42,2
raft_size1,21,1243,0.004,22,7,22,1
raft_size1,22,1342,0.004,24,8,38,1
raft_size1,23,21000,0.005,24,7,24,1
raft_size1,24,872,0.005,24,9,50,2
raft_size1,25,448,0.004,22,7,34,1
raft_size1,26,347,0.004,21,6,26,1
raft_size1,27,984,0.004,22,7,24,1
raft_size1,28,338,0.004,24,8,30,1
raft_size1,29,1695,0.005,23,9,46,1
